Date,High,Low
2021-04-26,4194.18994140625,4182.35986328125
2021-04-27,4193.35009765625,4176.22021484375
2021-04-28,4201.52978515625,4181.77978515625
2021-04-29,4218.77978515625,4176.81005859375
2021-04-30,4198.10009765625,4174.85009765625
2021-05-03,4209.39013671875,4188.02978515625
2021-05-04,4179.0400390625,4128.58984375
2021-05-05,4187.72021484375,4160.93994140625
2021-05-06,4202.7001953125,4147.330078125
2021-05-07,4238.0400390625,4201.64013671875
2021-05-10,4236.39013671875,4188.1298828125
2021-05-11,4162.0400390625,4111.52978515625
2021-05-12,4134.72998046875,4056.8798828125
2021-05-13,4131.580078125,4074.989990234375
2021-05-14,4183.1298828125,4129.580078125
2021-05-17,4171.919921875,4142.68994140625
2021-05-18,4169.14990234375,4125.990234375
2021-05-19,4116.93017578125,4061.409912109375
2021-05-20,4172.7998046875,4121.97021484375
2021-05-21,4188.72021484375,4151.72021484375
2021-05-24,4209.52001953125,4170.16015625
2021-05-25,4213.419921875,4182.52001953125
2021-05-26,4202.60986328125,4184.10986328125
2021-05-27,4213.3798828125,4197.77978515625
2021-05-28,4218.35986328125,4203.56982421875
2021-06-01,4234.1201171875,4197.58984375
2021-06-02,4217.3701171875,4198.27001953125
2021-06-03,4204.39013671875,4167.93017578125
2021-06-04,4233.4501953125,4206.0498046875
2021-06-07,4232.33984375,4215.66015625
2021-06-08,4236.740234375,4208.41015625
2021-06-09,4237.08984375,4218.740234375
2021-06-10,4249.740234375,4220.33984375
2021-06-11,4248.3798828125,4232.25
2021-06-14,4255.58984375,4234.06982421875
2021-06-15,4257.16015625,4238.35009765625
2021-06-16,4251.89013671875,4202.4501953125
2021-06-17,4232.2900390625,4196.0498046875
2021-06-18,4204.77978515625,4164.39990234375
2021-06-21,4226.240234375,4173.39990234375
2021-06-22,4255.83984375,4217.27001953125
2021-06-23,4256.60009765625,4241.43017578125
2021-06-24,4271.27978515625,4256.97021484375
2021-06-25,4286.1201171875,4271.16015625
2021-06-28,4292.14013671875,4274.669921875
2021-06-29,4300.52001953125,4287.0400390625
2021-06-30,4302.43017578125,4287.9599609375
2021-07-01,4320.66015625,4300.72998046875
2021-07-02,4355.43017578125,4326.60009765625
2021-07-06,4356.4599609375,4314.3701171875
2021-07-07,4361.8798828125,4329.7900390625
2021-07-08,4330.8798828125,4289.3701171875
2021-07-09,4371.60009765625,4329.3798828125
2021-07-12,4386.68017578125,4364.02978515625
2021-07-13,4392.3701171875,4366.919921875
2021-07-14,4393.68017578125,4362.35986328125
2021-07-15,4369.02001953125,4340.7001953125
2021-07-16,4375.08984375,4322.52978515625
2021-07-19,4296.39990234375,4233.1298828125
2021-07-20,4336.83984375,4262.0498046875
2021-07-21,4359.7001953125,4331.1298828125
2021-07-22,4369.8701171875,4350.06005859375
2021-07-23,4415.18017578125,4381.2001953125
2021-07-26,4422.72998046875,4405.4501953125
2021-07-27,4416.3798828125,4372.509765625
2021-07-28,4415.47021484375,4387.009765625
2021-07-29,4429.97021484375,4403.58984375
2021-07-30,4412.25,4389.64990234375
2021-08-02,4422.18017578125,4384.81005859375
2021-08-03,4423.7900390625,4373.0
2021-08-04,4416.169921875,4400.22998046875
2021-08-05,4429.759765625,4408.85986328125
2021-08-06,4440.81982421875,4429.06982421875
2021-08-09,4439.39013671875,4424.740234375
2021-08-10,4445.2099609375,4430.02978515625
2021-08-11,4449.43994140625,4436.419921875
2021-08-12,4461.77001953125,4435.9599609375
2021-08-13,4468.3701171875,4460.81982421875
2021-08-16,4480.259765625,4437.66015625
2021-08-17,4462.1201171875,4417.830078125
2021-08-18,4454.31982421875,4397.58984375
2021-08-19,4418.60986328125,4367.72998046875
2021-08-20,4444.35009765625,4406.7998046875
2021-08-23,4489.8798828125,4450.2900390625
2021-08-24,4492.81005859375,4482.27978515625
2021-08-25,4501.7099609375,4485.66015625
2021-08-26,4495.89990234375,4468.990234375
2021-08-27,4513.330078125,4474.10009765625
2021-08-30,4537.35986328125,4513.759765625
2021-08-31,4531.39013671875,4515.7998046875
2021-09-01,4537.10986328125,4522.02001953125
2021-09-02,4545.85009765625,4524.66015625
2021-09-03,4541.4501953125,4521.2998046875
2021-09-07,4535.3798828125,4513.0
2021-09-08,4521.7900390625,4493.9501953125
2021-09-09,4529.89990234375,4492.06982421875
2021-09-10,4520.47021484375,4457.66015625
2021-09-13,4492.990234375,4445.7001953125
2021-09-14,4485.68017578125,4435.4599609375
2021-09-15,4486.8701171875,4438.3701171875
2021-09-16,4485.8701171875,4443.7998046875
2021-09-17,4471.52001953125,4427.759765625
2021-09-20,4402.9501953125,4305.91015625
2021-09-21,4394.8701171875,4347.9599609375
2021-09-22,4416.75,4367.43017578125
2021-09-23,4465.39990234375,4406.75
2021-09-24,4463.1201171875,4430.27001953125
2021-09-27,4457.2998046875,4436.18994140625
2021-09-28,4419.5400390625,4346.330078125
2021-09-29,4385.56982421875,4355.080078125
2021-09-30,4382.5498046875,4306.240234375
2021-10-01,4375.18994140625,4288.52001953125
2021-10-04,4355.509765625,4278.93994140625
2021-10-05,4369.22998046875,4309.8701171875
2021-10-06,4365.56982421875,4290.490234375
2021-10-07,4429.97021484375,4383.72998046875
2021-10-08,4412.02001953125,4386.22021484375
2021-10-11,4415.8798828125,4360.58984375
2021-10-12,4374.89013671875,4342.08984375
2021-10-13,4372.8701171875,4329.919921875
2021-10-14,4439.72998046875,4386.75
2021-10-15,4475.81982421875,4447.68994140625
2021-10-18,4488.75,4447.47021484375
2021-10-19,4520.39990234375,4496.41015625
2021-10-20,4540.8701171875,4524.39990234375
2021-10-21,4551.43994140625,4526.89013671875
2021-10-22,4559.669921875,4524.0
2021-10-25,4572.6201171875,4537.35986328125
2021-10-26,4598.52978515625,4569.169921875
2021-10-27,4584.56982421875,4551.66015625
2021-10-28,4597.5498046875,4562.83984375
